General : Start date,"11/19/2025 10:23 AM"
General : End date,"11/19/2025 10:24 AM"
Specimen notes : Specimen note 1,"T8-3 - possibly damaged by instron orientation"
"18.10000","1.51039","10593.62793"
"18.20000","1.51876","10646.15137"
"18.30000","1.52710","10697.50879"
"18.40000","1.53541","10749.84863"
"18.50000","1.54383","10802.40234"
"18.60000","1.55212","10854.13477"
"18.70000","1.56051","10907.26660"
"18.80000","1.56880","10957.21387"
"18.90000","1.57707","11009.63477"
"19.00000","1.58548","11062.73340"
"19.10000","1.59377","11113.63965"
"19.20000","1.60222","11166.25098"
"19.30000","1.61053","11214.43652"
"19.40000","1.61885","11266.17285"
"19.50000","1.62719","11317.29297"
"19.60000","1.63545","11368.03516"
"19.70000","1.64387","11422.10840"
"19.80000","1.65216","11471.73535"
"19.90000","1.66050","11526.36621"
"20.00000","1.66887","11578.03125"
"20.10000","1.67713","11627.66895"
"20.20000","1.68552","11681.12988"
"20.30000","1.69376","11729.99902"
"20.40000","1.70215","11782.18164"
"20.50000","1.71052","11834.28418"
"20.60000","1.71883","11888.22754"
"20.70000","1.72722","11939.00781"
"20.80000","1.73552","11988.25586"
"20.90000","1.74388","12040.16113"
"21.00000","1.75215","12089.79590"
"21.10000","1.76044","12141.42480"
"21.20000","1.76883","12192.07617"
"21.30000","1.77709","12242.96875"
"21.40000","1.78551","12294.59277"
"21.50000","1.79380","12343.96094"
"21.60000","1.80214","12396.13574"
"21.70000","1.81046","12446.35840"
"21.80000","1.81875","12497.08496"
"21.90000","1.82721","12549.46484"
"22.00000","1.83550","12598.55176"
"22.10000","1.84389","12651.89844"
"22.20000","1.85216","12700.10156"
"22.30000","1.86045","12751.15039"
"22.40000","1.86887","12801.91992"
"22.50000","1.87713","12851.28125"
"22.60000","1.88557","12904.44238"
"22.70000","1.89386","12952.82520"
"22.80000","1.90218","13002.90527"
"22.90000","1.91057","13051.98340"
"23.00000","1.91878","13100.58984"
"23.10000","1.92720","13153.14062"
"23.20000","1.93546","13202.65820"
"23.30000","1.94383","13254.49316"
"23.40000","1.95217","13303.65137"
"23.50000","1.96041","13351.90234"
"23.60000","1.96880","13402.73633"
"23.70000","1.97707","13451.98047"
"23.80000","1.98548","13504.60059"
"23.90000","1.99385","13553.27539"
"24.00000","2.00216","13604.60645"
"24.10000","2.01056","13654.18848"
"24.20000","2.01882","13701.98730"
"24.30000","2.02716","13752.52344"
"24.40000","2.03543","13799.76758"
"24.50000","2.04377","13849.93652"
"24.60000","2.05216","13898.62598"
"24.70000","2.06045","13947.51660"
"24.80000","2.06884","13997.80762"
"24.90000","2.07710","14043.70508"
"25.00000","2.08547","14092.80762"
"25.10000","2.09381","14141.56152"
"25.20000","2.10213","14191.16602"
"25.30000","2.11057","14241.21875"
"25.40000","2.11883","14288.59277"
"25.50000","2.12717","14337.51758"
"25.60000","2.13546","14383.67676"
"25.70000","2.14375","14432.63184"
"25.80000","2.15212","14480.40137"
"25.90000","2.16041","14528.60547"
"26.00000","2.16888","14578.41504"
"26.10000","2.17717","14624.04883"
"26.20000","2.18551","14671.30176"
"26.30000","2.19387","14716.86523"
"26.40000","2.20214","14764.67578"
"26.50000","2.21053","14813.05664"
"26.60000","2.21882","14858.05957"
"26.70000","2.22719","14905.52832"
"26.80000","2.23553","14952.23828"
"26.90000","2.24379","14998.52051"
"27.00000","2.25218","15045.75586"
"27.10000","2.26042","15090.91406"
"27.20000","2.26881","15138.46387"
"27.30000","2.27713","15184.21875"
"27.40000","2.28545","15232.30078"
"27.50000","2.29381","15277.81445"
"27.60000","2.30203","15322.03418"
"27.70000","2.31042","15367.99707"
"27.80000","2.31876","15413.31836"
"27.90000","2.32712","15460.99316"
"28.00000","2.33551","15504.88574"
"28.10000","2.34378","15549.08008"
"28.20000","2.35220","15594.29297"
"28.30000","2.36044","15636.66504"
"28.40000","2.36880","15682.61816"
"28.50000","2.37712","15726.13281"
"28.60000","2.38543","15770.61816"
"28.70000","2.39387","15814.92871"
"28.80000","2.40216","15858.36523"
"28.90000","2.41053","15903.99121"
"29.00000","2.41885","15945.79785"
"29.10000","2.42714","15990.58105"
"29.20000","2.43553","16033.48535"
"29.30000","2.44382","16076.60352"
"29.40000","2.45221","16119.26074"
"29.50000","2.46050","16160.57324"
"29.60000","2.46884","16203.59766"
"29.70000","2.47718","16244.11816"
"29.80000","2.48542","16285.31934"
"29.90000","2.49384","16328.75684"
"30.00000","2.50215","16369.79688"
"30.10000","2.51052","16412.33398"
"30.20000","2.51886","16453.32812"
"30.30000","2.52717","16493.82031"
"30.40000","2.53556","16533.61133"
"30.50000","2.54378","16571.19922"
"30.60000","2.55215","16614.18359"
"30.70000","2.56046","16654.81641"
"30.80000","2.56875","16694.72266"
"30.90000","2.57717","16733.05273"
"31.00000","2.58543","16772.19141"
"31.10000","2.59382","16812.58594"
"31.20000","2.60209","16850.44336"
"31.30000","2.61045","16890.62891"
"31.40000","2.61885","16929.05469"
"31.50000","2.62716","16966.83594"
"31.60000","2.63558","17006.39062"
"31.70000","2.64384","17042.04883"
"31.80000","2.65216","17077.39453"
"31.90000","2.66050","17111.76562"
"32.00000","2.66881","17148.87695"
"32.10000","2.67723","17187.56641"
"32.20000","2.68550","17223.95508"
"32.30000","2.69389","17261.64844"
"32.40000","2.70220","17296.89648"
"32.50000","2.71049","17333.64258"
"32.60000","2.71883","17369.78320"
"32.70000","2.72712","17405.60156"
"32.80000","2.73554","17441.95117"
"32.90000","2.74380","17475.11133"
"33.00000","2.75209","17510.37305"
"33.10000","2.76046","17544.45508"
"33.20000","2.76873","17579.86523"
"33.30000","2.77717","17615.37305"
"33.40000","2.78548","17647.66797"
"33.50000","2.79387","17681.88672"
"33.60000","2.80221","17712.87695"
"33.70000","2.81048","17747.31641"
"33.80000","2.81885","17778.89062"
"33.90000","2.82709","17809.24414"
"34.00000","2.83545","17841.37891"
"34.10000","2.84379","17872.62695"
"34.20000","2.85213","17905.87109"
"34.30000","2.86050","17938.12891"
"34.40000","2.86876","17967.24609"
"34.50000","2.87715","17998.36523"
"34.60000","2.88547","18025.94727"
"34.70000","2.89384","18058.65820"
"34.80000","2.90223","18088.26562"
"34.90000","2.91049","18117.87109"
"35.00000","2.91886","18146.23242"
"35.10000","2.92710","18173.36328"
"35.20000","2.93544","18202.91211"
"35.30000","2.94375","18231.00000"
"35.40000","2.95209","18260.16797"
"35.50000","2.96054","18288.43164"
"35.60000","2.96880","18313.97070"
"35.70000","2.97722","18341.26562"
"35.80000","2.98551","18366.61133"
"35.90000","2.99382","18389.34961"
"36.00000","3.00221","18410.35547"
"36.10000","3.01048","18415.08398"
"36.11400","3.01164","18145.59766"
"36.11600","3.01184","17720.00391"
"36.11800","3.01199","17079.21680"
"36.12000","3.01219","16290.08691"
"36.12200","3.01239","15402.58105"
"36.12400","3.01260","14439.45020"
"36.12600","3.01282","13420.50000"
"36.12800","3.01302","12370.91504"
"36.13000","3.01325","11315.19043"
"36.13200","3.01345","10271.36914"
